,genes,proteins
179,ENSMUSG00000032512,"['ENSMUSP00000042509', 'ENSMUSP00000149478', 'ENSMUSP00000149793', 'ENSMUSP00000150321']"
180,ENSMUSG00000064158,ENSMUSP00000033100
181,ENSMUSG00000038233,"['ENSMUSP00000040221', 'ENSMUSP00000149755', 'ENSMUSP00000150724', 'ENSMUSP00000151175']"
182,ENSMUSG00000044393,"['ENSMUSP00000057096', 'ENSMUSP00000113029', 'ENSMUSP00000113153']"
183,ENSMUSG00000021565,"['ENSMUSP00000022048', 'ENSMUSP00000119313']"
184,ENSMUSG00000029141,"['ENSMUSP00000110179', 'ENSMUSP00000143852', 'ENSMUSP00000143960', 'ENSMUSP00000144046', 'ENSMUSP00000144257', 'ENSMUSP00000144335', 'ENSMUSP00000144613']"
185,ENSMUSG00000052595,"['ENSMUSP00000075235', 'ENSMUSP00000153397', 'ENSMUSP00000153465', 'ENSMUSP00000153542']"
186,ENSMUSG00000074653,ENSMUSP00000120802
187,ENSMUSG00000094472,ENSMUSP00000135960
188,ENSMUSG00000027018,"['ENSMUSP00000028408', 'ENSMUSP00000107750']"
189,ENSMUSG00000029029,"['ENSMUSP00000030895', 'ENSMUSP00000118548']"
190,ENSMUSG00000013091,ENSMUSP00000013235
191,ENSMUSG00000034224,"['ENSMUSP00000038438', 'ENSMUSP00000119987', 'ENSMUSP00000123094']"
192,ENSMUSG00000030553,"['ENSMUSP00000032770', 'ENSMUSP00000146996']"
193,ENSMUSG00000040749,"['ENSMUSP00000043215', 'ENSMUSP00000071592', 'ENSMUSP00000114867']"
194,ENSMUSG00000005698,ENSMUSP00000005841
195,ENSMUSG00000036395,"['ENSMUSP00000047128', 'ENSMUSP00000066770', 'ENSMUSP00000123830', 'ENSMUSP00000124415', 'ENSMUSP00000125022']"
196,ENSMUSG00000027968,"['ENSMUSP00000029588', 'ENSMUSP00000143331']"
197,ENSMUSG00000039224,ENSMUSP00000035261
198,ENSMUSG00000035394,"['ENSMUSP00000110545', 'ENSMUSP00000134908', 'ENSMUSP00000135452']"
199,ENSMUSG00000021534,"['ENSMUSP00000022007', 'ENSMUSP00000152877']"
200,ENSMUSG00000006464,"['ENSMUSP00000055321', 'ENSMUSP00000157393', 'ENSMUSP00000157728', 'ENSMUSP00000157830']"
201,ENSMUSG00000059408,ENSMUSP00000074768
202,ENSMUSG00000066838,ENSMUSP00000074055
203,ENSMUSG00000045211,"['ENSMUSP00000086450', 'ENSMUSP00000154027', 'ENSMUSP00000154258']"
204,ENSMUSG00000003123,"['ENSMUSP00000003207', 'ENSMUSP00000050935', 'ENSMUSP00000100811', 'ENSMUSP00000123485', 'ENSMUSP00000145665', 'ENSMUSP00000145669', 'ENSMUSP00000146000']"
205,ENSMUSG00000033906,ENSMUSP00000047615
206,ENSMUSG00000066861,"['ENSMUSP00000083555', 'ENSMUSP00000124597']"
207,ENSMUSG00000070304,"['ENSMUSP00000091377', 'ENSMUSP00000126826']"
208,ENSMUSG00000074738,ENSMUSP00000096871
209,ENSMUSG00000040525,"['ENSMUSP00000039955', 'ENSMUSP00000104088']"
210,ENSMUSG00000039016,ENSMUSP00000039335
211,ENSMUSG00000094973,"['ENSMUSP00000133154', 'ENSMUSP00000144809', 'ENSMUSP00000145166']"
212,ENSMUSG00000074925,"['ENSMUSP00000069426', 'ENSMUSP00000097156', 'ENSMUSP00000157451', 'ENSMUSP00000157782', 'ENSMUSP00000158406']"
213,ENSMUSG00000071769,"['ENSMUSP00000094196', 'ENSMUSP00000138867', 'ENSMUSP00000139320']"
214,ENSMUSG00000054325,ENSMUSP00000066468
215,ENSMUSG00000023032,"['ENSMUSP00000023776', 'ENSMUSP00000123864', 'ENSMUSP00000125090']"
216,ENSMUSG00000068814,"['ENSMUSP00000078649', 'ENSMUSP00000088209']"
217,ENSMUSG00000018239,"['ENSMUSP00000018383', 'ENSMUSP00000130089']"
218,ENSMUSG00000000204,"['ENSMUSP00000000208', 'ENSMUSP00000132595', 'ENSMUSP00000150793']"
219,ENSMUSG00000037984,ENSMUSP00000047016
220,ENSMUSG00000054745,ENSMUSP00000070898
221,ENSMUSG00000060827,"['ENSMUSP00000080399', 'ENSMUSP00000148918', 'ENSMUSP00000150185']"
